"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"(S)-3-Hydroxybutyric acid","(S)-3-Hydroxybutyric acid","HMDB0000442","94318","C03197","C[C@H](O)CC(O)=O","1"
"1,3-Acetonedicarboxylic acid","NA","NA","NA","NA","NA","0"
"1,5-Anhydro-D-sorbitol","1,5-Anhydrosorbitol","HMDB0002712","64960","C07326","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"10-HYDROXYDECANOATE","10-Hydroxydecanoic acid","HMDB0244272","74300","C02774","OCCCCCCCCCC(O)=O","1"
"14-0_LysoPC","NA","NA","NA","NA","NA","0"
"14-0_LysoPE","NA","NA","NA","NA","NA","0"
"16-0_LysoPC","NA","NA","NA","NA","NA","0"
"16-0_LysoPE","NA","NA","NA","NA","NA","0"
"16-0_LysoPI","NA","NA","NA","NA","NA","0"
"18-0_LysoPC","NA","NA","NA","NA","NA","0"
"18-0_LysoPE","NA","NA","NA","NA","NA","0"
"18-1_LysoPS","NA","NA","NA","NA","NA","0"
"1-METHYLADENOSINE","1-Methyladenosine","HMDB0003331","27476","C02494","CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N","1"
"1-METHYL-L-HISTIDINE","1-Methylhistidine","HMDB0000001","92105","C01152","CN1C=NC(C[C@H](N)C(O)=O)=C1","1"
"1-Methylpiperidine-2-carboxylic acid","NA","NA","NA","NA","NA","0"
"1-Methyl-pyrogallol-3-O-sulfate","NA","NA","NA","NA","NA","0"
"2,3-DIHYDROXYBENZOATE","2-Pyrocatechuic acid","HMDB0000397","19","C00196","OC(=O)C1=C(O)C(O)=CC=C1","1"
"2',4'-DIHYDROXYACETOPHENONE","2',4'-Dihydroxyacetophenone","HMDB0029659","6990","C03663","CC(=O)C1=C(O)C=C(O)C=C1","1"
"2-AMINOISOBUTYRATE","2-Aminoisobutyric acid","HMDB0001906","6119","C03665","CC(C)(N)C(O)=O","1"
"2-Deoxyribose-5-phosphate sodium salt","NA","NA","NA","NA","NA","0"
"2-Hydroxy 3-methylbutyric acid","NA","NA","NA","NA","NA","0"
"2-HYDROXY-4-(METHYLTHIO)BUTANOATE","(<U+00B1>)-2-Hydroxy-4-(methylthio)butanoic acid","HMDB0037115","11427",NA,"CSCCC(O)C(O)=O","1"
"2-HYDROXYBUTYRATE","2-Hydroxybutyric acid","HMDB0000008","440864","C05984","CC[C@H](O)C(O)=O","1"
"2-Hydroxyisocaproic acid","Leucinic acid","HMDB0000665","92779",NA,"CC(C)CC(O)C(O)=O","1"
"2-HYDROXYPHENYLACETATE","ortho-Hydroxyphenylacetic acid","HMDB0000669","11970","C05852","OC(=O)CC1=C(O)C=CC=C1","1"
"2-Isopropylmalic acid","2-Isopropylmalic acid","HMDB0000402","5280523","C02504","CC(C)[C@@](O)(CC(O)=O)C(O)=O","1"
"2-Methylhippuric acid","2-Methylhippuric acid","HMDB0011723","91637","C01586","CC1=C(C=CC=C1)C(=O)NCC(O)=O","1"
"2-Phenylglycine","2-Phenylglycine","HMDB0002210","3866",NA,"NC(C(O)=O)C1=CC=CC=C1","1"
"3-(2-HYDROXYPHENYL)PROPANOATE","3-(2-Hydroxyphenyl)propanoic acid","HMDB0033752","873","C01198","OC(=O)CCC1=CC=CC=C1O","1"
"3,4-DIHYDROXYBENZOATE","Protocatechuic acid","HMDB0001856","72","C00230","OC(=O)C1=CC(O)=C(O)C=C1","1"
"3-hydroxy-3-phenylpropionic acid","NA","NA","NA","NA","NA","0"
"3-HYDROXYBENZALDEHYDE","3-Hydroxybenzaldehyde",NA,"5967","C03067",NA,"1"
"3-HYDROXYBUTANOATE","NA","NA","NA","NA","NA","0"
"3-HYDROXYPHENYLACETATE","3-Hydroxyphenylacetic acid","HMDB0000440","12122","C05593","OC(=O)CC1=CC(O)=CC=C1","1"
"3-Indolelactic acid","NA","NA","NA","NA","NA","0"
"3-isopropylmalic acid","3-Isopropylmalic acid","HMDB0012156","5462261","C04411","CC(C)[C@@H]([C@@H](O)C(O)=O)C(O)=O","1"
"3-Methyladipic acid","3-Methyladipic acid","HMDB0000555","6999745",NA,"C[C@@H](CCC(O)=O)CC(O)=O","1"
"4-COUMARATE","4-Hydroxycinnamic acid","HMDB0002035","637542","C00811","OC(=O)\C=C\C1=CC=C(O)C=C1","1"
"4-hydroxybenzoic acid","4-Hydroxybenzoic acid","HMDB0000500","135","C00156","OC(=O)C1=CC=C(O)C=C1","1"
"4-Hydroxyhippuric acid","p-Hydroxyhippuric acid","HMDB0013678","151012",NA,"OC(=O)CNC(=O)C1=CC=C(O)C=C1","1"
"4-IMIDAZOLEACETATE","Imidazoleacetic acid","HMDB0002024","96215","C02835","OC(=O)CC1=CN=CN1","1"
"4-Methyl-2-oxovaleric acid","Ketoleucine","HMDB0000695","70","C00233","CC(C)CC(=O)C(O)=O","1"
"4-Methylcatechol monosulfate","4-Methylcatechol 1-sulfate","HMDB0240459","54104170",NA,"CC1=CC(O)=C(OS(O)(=O)=O)C=C1","1"
"4-O-methylgallic acid 3-O-sulfate","NA","NA","NA","NA","NA","0"
"4-PYRIDOXATE","4-Pyridoxic acid","HMDB0000017","6723","C00847","CC1=NC=C(CO)C(C(O)=O)=C1O","1"
"5-AMINOPENTANOATE","5-Aminopentanoic acid","HMDB0003355","138","C00431","NCCCCC(O)=O","1"
"5b-cholanic acid-3a,6a,7a-TRIOL","Hyocholic acid","HMDB0000760","131750324",NA,"[H][C@@]12CCC([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](O)[C@H](O)[C@]2([H])C[C@H](O)CC[C@]12C","1"
"5b-cholanic acid-3a-OL-12-ONE","NA","NA","NA","NA","NA","0"
"5-METHYLCYTOSINE","5-Methylcytosine","HMDB0002894","65040","C02376","CC1=C(N)NC(=O)N=C1","1"
"6-HYDROXYDOPAMINE","6-Hydroxydopamine","HMDB0001537","4624",NA,"NCCC1=C(O)C=C(O)C(O)=C1","1"
"ACETOACETATE","Acetoacetic acid","HMDB0000060","96","C00164","CC(=O)CC(O)=O","1"
"AICAR","AICAR","HMDB0001517","65110","C04677","NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"ALLOTHREONINE","NA","NA","NA","NA","NA","0"
"ALPHA-HYDROXYISOBUTYRATE","alpha-Hydroxyisobutyric acid","HMDB0000729","11671",NA,"CC(C)(O)C(O)=O","1"
"AMINOADIPATE","Aminoadipic acid","HMDB0000510","92136","C00956","N[C@@H](CCCC(O)=O)C(O)=O","1"
"androsterone glucuronide","Androsterone glucuronide","HMDB0002829","114833","C11135","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](CC[C@]12C)O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"ANTHRANILATE","2-Aminobenzoic acid","HMDB0001123","227","C00108","NC1=CC=CC=C1C(O)=O","1"
"ASPARAGINE","L-Asparagine","HMDB0000168","6267","C00152","N[C@@H](CC(N)=O)C(O)=O","1"
"ASPARTATE","L-Aspartic acid","HMDB0000191","5960","C00049","N[C@@H](CC(O)=O)C(O)=O","1"
"BETA-ALANINE","beta-Alanine","HMDB0000056","239","C00099","NCCC(O)=O","1"
"BETAINE","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(O)=O","1"
"BILIRUBIN","Bilirubin","HMDB0000054","5280352","C00486","CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1","1"
"C3 Propionyl-L-carnitine","NA","NA","NA","NA","NA","0"
"CADAVERINE","Cadaverine","HMDB0002322","273","C01672","NCCCCCN","1"
"CAFFEINE","Caffeine","HMDB0001847","2519","C07481","CN1C=NC2=C1C(=O)N(C)C(=O)N2C","1"
"CARNOSINE","Carnosine","HMDB0000033","439224","C00386","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"CHOLATE","Cholic acid","HMDB0000619","221493","C00695","C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C","1"
"CHOLINE","Choline","HMDB0000097","305","C00114","C[N+](C)(C)CCO","1"
"CITRATE","Citric acid","HMDB0000094","311","C00158","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"CITRULLINE","Citrulline","HMDB0000904","9750","C00327","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"CORTISOL","Cortisol","HMDB0000063","5754","C00735","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"CORTISONE","Cortisone","HMDB0002802","222786","C00762","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"CREATINE","Creatine","HMDB0000064","586","C00300","CN(CC(O)=O)C(N)=N","1"
"CREATININE","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)NC1=N","1"
"CYS-GLY","Cysteinylglycine","HMDB0000078","439498","C01419","N[C@@H](CS)C(=O)NCC(O)=O","1"
"CYTIDINE","Cytidine","HMDB0000089","6175","C00475","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"L-ALANINE","L-Alanine","HMDB0000161","5950","C00041","C[C@H](N)C(O)=O","1"
"Dehydroacetic acid","NA","NA","NA","NA","NA","0"
"DEOXYCARNITINE","4-Trimethylammoniobutanoic acid","HMDB0001161","725","C01181","C[N+](C)(C)CCCC([O-])=O","1"
"DEOXYCHOLATE","Deoxycholic acid","HMDB0000626","222528","C04483","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O","1"
"DEOXYURIDINE","Deoxyuridine","HMDB0000012","13712","C00526","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"dimethylmaleate","Maleic acid homopolymer","HMDB0036232","3032309","C00922","C\C(=C(/C)C(O)=O)C(O)=O","1"
"DL-2-Hydroxyvaleric acid","NA","NA","NA","NA","NA","0"
"D-ORNITHINE","D-Ornithine","HMDB0003374","71082","C00515","NCCC[C@@H](N)C(O)=O","1"
"D-pantothenic acid","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"D-Raffinose (D-(+)-Raffinose pentahydrate )","NA","NA","NA","NA","NA","0"
"FUMARATE","Fumaric acid","HMDB0000134","444972","C00122","OC(=O)\C=C\C(O)=O","1"
"glycerone","Dihydroxyacetone","HMDB0001882","670","C00184","OCC(=O)CO","1"
"GLYCINE","Glycine","HMDB0000123","750","C00037","NCC(O)=O","1"
"GLYCOCHOLATE","Glycocholic acid","HMDB0000138","10140","C01921","C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C","1"
"glycodeoxycholate","Deoxycholic acid glycine conjugate","HMDB0000631","22833539","C05464 ","[H][C@]12CCC3C4CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]4(C)[C@@H](O)CC3[C@@]1(C)CC[C@@H](O)C2","1"
"Gly-Pro","Glycylproline","HMDB0000721","3013625",NA,"NCC(=O)N1CCC[C@H]1C(O)=O","1"
"heptylmalonic acid","Heptylmalonic acid","HMDB0059719","136574",NA,"CCCCCCCC(C(O)=O)C(O)=O","1"
"hexanoylglycine","Hexanoylglycine","HMDB0000701","99463",NA,"CCCCCC(=O)NCC(O)=O","1"
"Hexanoyl-L-carnitine","Hexanoylcarnitine","HMDB0000756","3246938",NA,"CCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"FUCOSE","L-Fucose","HMDB0000174","17106","C01019","C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"HEXOSE1","NA","NA","NA","NA","NA","0"
"HEXOSE2","NA","NA","NA","NA","NA","0"
"HEXOSE3","NA","NA","NA","NA","NA","0"
"HEXOSE4","NA","NA","NA","NA","NA","0"
"RAFFINOSE","Raffinose","HMDB0003213","439242","C00492","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"HEXOSE5","NA","NA","NA","NA","NA","0"
"HIPPURATE","Hippuric acid","HMDB0000714","464","C01586","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"HISTAMINE","Histamine","HMDB0000870","774","C00388","NCCC1=CNC=N1","1"
"HOMOSERINE","L-Homoserine","HMDB0000719","12647","C00263","N[C@@H](CCO)C(O)=O","1"
"HOMOVANILLATE","Homovanillic acid","HMDB0000118","1738","C05582","COC1=C(O)C=CC(CC(O)=O)=C1","1"
"HYDROXYKYNURENINE","Hydroxykynurenine","HMDB0000732","89","C02794","NC(CC(=O)C1=C(N)C(O)=CC=C1)C(O)=O","1"
"HYDROXYPHENYLLACTATE","Hydroxyphenyllactic acid","HMDB0000755","9378","C03672","OC(CC1=CC=C(O)C=C1)C(O)=O","1"
"HYPOXANTHINE","Hypoxanthine","HMDB0000157","790","C00262","OC1=NC=NC2=C1NC=N2","1"
"INDOLE-3-ACETATE","Indoleacetic acid","HMDB0000197","802","C00954","OC(=O)CC1=CNC2=C1C=CC=C2","1"
"Indole-3-carbaldehyde","Indole-3-carboxaldehyde","HMDB0029737","10256","C08493","O=CC1=CNC2=C1C=CC=C2","1"
"INDOXYL SULFATE","Indoxyl sulfate","HMDB0000682","10258",NA,"OS(=O)(=O)OC1=CNC2=CC=CC=C12","1"
"ISOLEUCINE","Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@H](N)C(O)=O","1"
"Isovaleryl-L-carnitine","NA","NA","NA","NA","NA","0"
"ITACONATE","Itaconic acid","HMDB0002092","811","C00490","OC(=O)CC(=C)C(O)=O","1"
"KETOLEUCINE","Ketoleucine","HMDB0000695","70","C00233","CC(C)CC(=O)C(O)=O","1"
"LACTATE","Lactic acid","HMDB0000190","107689","C00186","C[C@H](O)C(O)=O","1"
"L-arginine","L-Arginine","HMDB0000517","6322","C00062","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"L-Asparagine","L-Asparagine","HMDB0000168","6267","C00152","N[C@@H](CC(N)=O)C(O)=O","1"
"LAUROYLCARNITINE","Dodecanoylcarnitine","HMDB0002250","168381",NA,"CCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"L-CARNITINE","L-Carnitine","HMDB0000062","10917","C00487","C[N+](C)(C)C[C@H](O)CC(O)=O","1"
"L-Glutamic acid","Glutamic acid","HMDB0000148","33032","C00025","N[C@@H](CCC(O)=O)C(O)=O","1"
"L-Glutamine","Glutamine","HMDB0000641","5961","C00064","N[C@@H](CCC(N)=O)C(O)=O","1"
"L-Histidine","Histidine","HMDB0000177","6274","C00135","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"L-Leucine","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"L-Lysine","Lysine","HMDB0000182","5962","C00047","NCCCC[C@H](N)C(O)=O","1"
"L-Methionine","Methionine","HMDB0000696","6137","C00073","CSCC[C@H](N)C(O)=O","1"
"L-ORNITHINE","Ornithine","HMDB0000214","6262","C00077","NCCC[C@H](N)C(O)=O","1"
"L-Phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"L-Serine","Serine","HMDB0000187","5951","C00065","N[C@@H](CO)C(O)=O","1"
"L-Threonine","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"L-tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"(±)-Mevalonolactone","NA","NA","NA","NA","NA","0"
"MYOINOSITOL","myo-Inositol","HMDB0000211",NA,"C00137","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"N,N,N-TRIMETHYLLYSINE","NA","NA","NA","NA","NA","0"
"N-acetyl-DL-valine","N-Acetylvaline","HMDB0011757","66789",NA,"CC(C)[C@H](NC(C)=O)C(O)=O","1"
"N-ACETYLLEUCINE","N-Acetyl-Leu","HMDB0011756","70912","C02710","CC(C)C[C@H](NC(C)=O)C(O)=O","1"
"N-Acetyl-L-tyrosine","N-Acetyl-L-tyrosine","HMDB0000866","68310","C01657","CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"N-ACETYLMANNOSAMINE","N-Acetylmannosamine","HMDB0001129","11096158","C00645","CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"N-ACETYLMETHIONINE","N-Acetyl-L-methionine","HMDB0011745","448580","C02712","CSCC[C@H](NC(C)=O)C(O)=O","1"
"N-ACETYLPUTRESCINE","N-Acetylputrescine","HMDB0002064","122356","C02714","CC(=O)NCCCCN","1"
"NICOTINAMIDE","Niacinamide","HMDB0001406","936","C00153","NC(=O)C1=CC=CN=C1","1"
"N-methyl-2-pyridone-5-carboxamide","Nudifloramide","HMDB0004193","69698","C05842","CN1C=C(C=CC1=O)C(N)=O","1"
"N-METHYLASPARTATE","N-Methyl-D-aspartic acid","HMDB0002393","22880","C12269","CN[C@H](CC(O)=O)C(O)=O","1"
"o-acetyl-l-carnitine","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"O-ACETYLSERINE","O-Acetylserine","HMDB0003011","99478","C00979","CC(=O)OC[C@H](N)C(O)=O","1"
"OMEGA-HYDROXYDODECANOATE","12-Hydroxydodecanoic acid","HMDB0002059","79034","C08317","OCCCCCCCCCCCC(O)=O","1"
"Palmitoyl-L-carnitine","Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"PANTOTHENATE","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"PARAXANTHINE","Paraxanthine","HMDB0001860","4687","C13747","CN1C=NC2=C1C(=O)N(C)C(=O)N2","1"
"phenylacetyl-L-glutamine","Phenylacetylglutamine","HMDB0006344","92258","C04148","NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O","1"
"PHENYLPYRUVATE","Phenylpyruvic acid","HMDB0000205","997","C00166","OC(=O)C(=O)CC1=CC=CC=C1","1"
"PHOSPHOENOLPYRUVATE","Phosphoenolpyruvic acid","HMDB0000263","1005","C00074","OC(=O)C(=C)OP(O)(O)=O","1"
"Phosphoric acid","Phosphate","HMDB0001429","1004","C00009","OP(O)(O)=O","1"
"PIPECOLATE","Pipecolic acid","HMDB0000070","849","C00408","OC(=O)C1CCCCN1","1"
"PROLINE","Proline","HMDB0000162","145742","C00148","OC(=O)[C@@H]1CCCN1","1"
"RIBOFLAVIN","Riboflavin","HMDB0000244","493570","C00255","CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1","1"
"SARCOSINE","Sarcosine","HMDB0000271","1088","C00213","CNCC(O)=O","1"
"Sebacic acid","Sebacic acid","HMDB0000792","5192","C08277","OC(=O)CCCCCCCCC(O)=O","1"
"Serotonin","Serotonin","HMDB0000259","5202","C00780","NCCC1=CNC2=C1C=C(O)C=C2","1"
"SPERMIDINE","Spermidine","HMDB0001257","1102","C00315","NCCCCNCCCN","1"
"SPERMINE","Spermine","HMDB0001256","1103","C00750","NCCCNCCCCNCCCN","1"
"Sphingosine 1-phosphate","Sphingosine 1-phosphate","HMDB0000277","5283560","C06124","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(O)(O)=O","1"
"STACHYOSE","Stachyose","HMDB0003553","439531","C01613","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"SUBERATE","Suberic acid","HMDB0000893","10457","C08278","OC(=O)CCCCCCC(O)=O","1"
"THEOBROMINE","Theobromine","HMDB0002825","5429","C07480","CN1C=NC2=C1C(O)=NC(=O)N2C","1"
"THREONINE","L-Threonine","HMDB0000167","6288","C00188","C[C@@H](O)[C@H](N)C(O)=O","1"
"Tigloyl-Lcarnitine","NA","NA","NA","NA","NA","0"
"Trans -2-decenoyl-l-carnitine","NA","NA","NA","NA","NA","0"
"TRANS-4-HYDROXY-L-PROLINE","4-Hydroxyproline","HMDB0000725","5810","C01157","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"TRANS-ACONITATE","trans-Aconitic acid","HMDB0000958","444212","C02341","OC(=O)C\C(=C/C(O)=O)C(O)=O","1"
"TRIGONELLINE","Trigonelline","HMDB0000875","5570","C01004","C[N+]1=CC=CC(=C1)C([O-])=O","1"
"TRYPTOPHAN","L-Tryptophan","HMDB0000929","6305","C00078","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"URATE","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"2-Methyl-3-oxopropanoic acid","2-Methyl-3-oxopropanoic acid","HMDB0001172","296","C00349","CC(C=O)C(O)=O","1"
"L-1-Pyrroline-3-hydroxy-5-carboxylic acid","(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid","HMDB0062585","11966267","C04281","[H][C@@]1(O)C[C@]([H])(N=C1)C(O)=O","1"
"3-Methyl-2-oxopentanoic acid","3-Methyl-2-oxovaleric acid","HMDB0000491","439286","C00671","CC[C@H](C)C(=O)C(O)=O","1"
"L-Glutamic acid 5-semialdehyde","L-Glutamic gamma-semialdehyde","HMDB0002104","193305","C01165","N[C@@H](CCC=O)C(O)=O","1"
"(S)-Malic acid","Malic acid","HMDB0000156","222656","C00149","O[C@@H](CC(O)=O)C(O)=O","1"
"Deoxyribose","Deoxyribose","HMDB0003224","22833604","C01801","OC[C@@H]1O[C@H](O)C[C@H]1O","1"
"2-Oxoglutaric acid","Oxoglutaric acid","HMDB0000208","51","C00026","OC(=O)CCC(=O)C(O)=O","1"
"N-Formyl-L-aspartic acid","N-Formyl-L-aspartate","HMDB0060495","88052","C01044","[H][C@@](CC(O)=O)(N=CO)C(O)=O","1"
"Formylanthranilic acid","Formylanthranilic acid","HMDB0004089","101399","C05653","OC(=O)C1=CC=CC=C1NC=O","1"
"3-Methoxy-4-hydroxyphenylacetaldehyde","Homovanillin","HMDB0005175","151276","C05581","COC1=C(O)C=CC(CC=O)=C1","1"
"3,4-DIHYDROXYPHENYLACETATE","3,4-Dihydroxybenzeneacetic acid","HMDB0001336","547","C01161","OC(=O)CC1=CC(O)=C(O)C=C1","1"
"D-Galactose","D-Galactose","HMDB0000143","439357","C00124","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"Isocitric acid","Isocitric acid","HMDB0000193","1198","C00311","OC(C(CC(O)=O)C(O)=O)C(O)=O","1"
"Dopaquinone","Dopaquinone","HMDB0001229","439316","C00822","N[C@@H](CC1=CC(=O)C(=O)C=C1)C(O)=O","1"
"5-Hydroxy-L-tryptophan","5-Hydroxy-L-tryptophan","HMDB0000472","439280","C00643","N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O","1"
"2-Phenylacetamide","2-Phenylacetamide","HMDB0010715","7680","C02505","NC(=O)CC1=CC=CC=C1","1"
"enol-Phenylpyruvic acid","Enol-phenylpyruvate","HMDB0012225","641637","C02763","OC(=O)C(\O)=C\C1=CC=CC=C1","1"
"Glycerone phosphate","Dihydroxyacetone phosphate","HMDB0001473","668","C00111","OCC(=O)COP(O)(O)=O","1"
"L-Octanoylcarnitine","Octanoylcarnitine","HMDB0000791","11953814","C02838","CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"17alpha.21-Dihydroxy-5beta-pregnane-3.11.20-trione","NA","NA","NA","NA","NA","0"
"(R)-3-Amino-2-methylpropanoic acid","(R)-beta-Aminoisobutyric acid","HMDB0002299","5459822","C01205","C[C@H](CN)C(O)=O","1"
"4-Aminobutanoic acid","gamma-Aminobutyric acid","HMDB0000112","119","C00334","NCCCC(O)=O","1"
"N2-acetylaminoadipic acid","NA","NA","NA","NA","NA","0"
"2,3,4,5-Tetrahydropyridine-2-carboxylic acid","NA","NA","NA","NA","NA","0"
"5-Oxoproline","Pyroglutamic acid","HMDB0000267","7405","C01879","OC(=O)[C@@H]1CCC(=O)N1","1"
"N4-Acetylaminobutanal","N4-Acetylaminobutanal","HMDB0004226","440850","C05936","CC(=O)NCCCC=O","1"
"5-Amino-2-oxopentanoic acid","5-Amino-2-oxopentanoic acid","HMDB0006272","439402","C01110","NCCCC(=O)C(O)=O","1"
"3-Ureidopropionic acid","Ureidopropionic acid","HMDB0000026","111","C02642","NC(=O)NCCC(O)=O","1"
"N1-Methyl-4-pyridone-5-carboxamide","N1-Methyl-4-pyridone-3-carboxamide","HMDB0004194","440810","C05843","CN1C=CC(=O)C(=C1)C(N)=O","1"
"Indole-3-acetaldehyde","Indoleacetaldehyde","HMDB0001190","800","C00637","O=CCC1=CNC2=C1C=CC=C2","1"
"N-Acetylornithine","N2-Acetylornithine","HMDB0003357","439232","C00437","CC(=O)N[C@@H](CCCN)C(O)=O","1"
"N-Formimino-L-glutamic acid","Formiminoglutamic acid","HMDB0000854","439233","C00439","OC(=O)CC[C@H](NC=N)C(O)=O","1"
"N1-Acetylspermidine","N1-Acetylspermidine","HMDB0001276","496","C00612","CC(=O)NCCCNCCCCN","1"
